Quarter,Year,IPCF,IngLab
1,2017,7529,153533746
2,2017,7522,154459717
3,2017,8795,177986152
4,2017,8808,180308616
1,2018,10381,211386169
2,2018,9608,194902744
3,2018,11031,227358584
4,2018,11231,231180740
1,2019,13447,278167070
2,2019,13400,279090409
3,2019,16571,337066301
4,2019,16485,341873727
1,2020,19916,402118830
2,2020,16174,320936748
3,2020,19713,386211018
4,2020,19524,404181383
1,2021,25284,548114387
2,2021,26021,574840873
3,2021,31035,687099848
4,2021,32192,719199672
1,2022,39644,888288263
2,2022,41626,913647487
3,2022,52483,1160136719
4,2022,58564,1331891944
1,2023,79007,1776428100
2,2023,87310,1954205274
3,2023,123574,2796729260
4,2023,156309,3562986020
1,2024,233695,5313502719
2,2024,289562,6703001135
3,2024,414785,9551636134
